blackAdvantagePercent,spearmanCorrelation,meanAbsoluteRankError,averageTop8Retention,eloTop1OverallTop1ProbabilityPercent,mostPenalizedParticipant,mostPenalizedDelta,mostAdvantagedParticipant,mostAdvantagedDelta
50.00,0.997059,1.245625,7.010000,23.866667,飛,2.750000,ひよこ,-2.390000
60.00,0.985294,1.451875,6.080000,21.833333,飛,3.185000,ひよこ,-3.500000
70.00,0.917647,2.886250,4.820000,11.750000,飛,4.585000,ひよこ,-4.010000
80.00,-0.508824,5.958750,2.500000,5.500000,飛,7.890000,ひよこ,-7.570000
90.00,-0.514706,7.810000,0.480000,0.000000,飛,10.280000,ひよこ,-10.130000
100.00,-0.867722,8.000000,0.000000,0.000000,飛,11.500000,ひよこ,-11.500000
