boundaryName,schemaName,rowType,playerName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
TournamentQualityReport,playerReport,data,飛,Neutral,5050,1,3.100,2.100,20.83,96.67
TournamentQualityReport,playerReport,data,角,Neutral,5030,2,3.700,1.700,17.50,100.00
TournamentQualityReport,playerReport,data,玉,Neutral,5010,3,4.900,1.900,5.83,91.67
TournamentQualityReport,playerReport,data,金,Neutral,4990,4,4.900,0.900,15.00,86.67
TournamentQualityReport,playerReport,data,銀,Neutral,4970,5,5.150,0.150,20.00,83.33
TournamentQualityReport,playerReport,data,桂,Neutral,4950,6,5.700,-0.300,0.00,85.00
TournamentQualityReport,playerReport,data,香,Neutral,4930,7,5.300,-1.700,17.50,90.00
TournamentQualityReport,playerReport,data,歩,Neutral,4910,8,5.750,-2.250,3.33,78.33
TournamentQualityReport,playerReport,data,きりん,Neutral,4890,9,11.250,2.250,0.00,18.33
TournamentQualityReport,playerReport,data,ぞう,Neutral,4870,10,10.050,0.050,0.00,25.00
TournamentQualityReport,playerReport,data,らいおん,Neutral,4850,11,11.900,0.900,0.00,6.67
TournamentQualityReport,playerReport,data,いぬ,Neutral,4830,12,12.950,0.950,0.00,5.00
TournamentQualityReport,playerReport,data,ねこ,Neutral,4810,13,13.100,0.100,0.00,0.00
TournamentQualityReport,playerReport,data,うさぎ,Neutral,4790,14,11.800,-2.200,0.00,20.00
TournamentQualityReport,playerReport,data,いのしし,Neutral,4770,15,14.250,-0.750,0.00,0.00
TournamentQualityReport,playerReport,data,ひよこ,Neutral,4750,16,12.200,-3.800,0.00,13.33
