blackAdvantagePercent,spearmanCorrelation,meanAbsoluteRankError,averageTop8Retention,eloTop1OverallTop1ProbabilityPercent,mostPenalizedParticipant,mostPenalizedDelta,mostAdvantagedParticipant,mostAdvantagedDelta
50.00,0.973529,1.118750,6.800000,20.000000,飛,2.850000,ひよこ,-2.600000
60.00,0.961765,1.568750,6.100000,30.000000,玉,2.800000,うさぎ,-3.600000
70.00,0.740250,2.606250,5.300000,15.000000,玉,5.800000,ひよこ,-4.950000
80.00,-0.241354,5.425000,3.200000,10.000000,玉,8.050000,ひよこ,-7.050000
90.00,-0.655882,7.937500,0.400000,0.000000,角,10.900000,ひよこ,-10.850000
100.00,-0.867722,8.000000,0.000000,0.000000,飛,11.500000,ひよこ,-11.500000
