blackAdvantagePercent,spearmanCorrelation,meanAbsoluteRankError,averageTop8Retention,eloTop1OverallTop1ProbabilityPercent,mostPenalizedParticipant,mostPenalizedDelta,mostAdvantagedParticipant,mostAdvantagedDelta
50.00,1.000000,1.235353,7.042064,22.372216,飛,2.665125,ひよこ,-2.655100
60.00,1.000000,1.509388,5.945703,21.818766,飛,3.233500,ひよこ,-3.228825
70.00,0.732353,3.591450,4.302489,15.128123,飛,4.827100,ひよこ,-4.846425
80.00,-0.505882,6.298094,2.228028,3.639806,飛,7.747475,ひよこ,-7.738150
90.00,-0.505882,7.879591,0.373120,0.064000,飛,10.255700,ひよこ,-10.229575
100.00,-0.867722,8.000000,0.000000,0.000000,飛,11.500000,ひよこ,-11.500000
