metricName,metricValue,note
spearmanCorrelation,1.000000,Elo順位と期待総合順位の相関
meanAbsoluteRankError,1.379675,期待総合順位とElo順位のずれの絶対値平均
averageTop8Retention,8.000000,Elo上位8名が総合上位8位に残る人数の期待値
eloTop1OverallTop1Probability,22.698155,Elo1位が総合1位になる確率(%)
mostPenalizedParticipantDelta,2.446975,飛
mostAdvantagedParticipantDelta,-2.437150,ひよこ
