metricName,metricValue,note
spearmanCorrelation,0.771996,Elo順位と期待総合順位の相関
meanAbsoluteRankError,2.986229,期待総合順位とElo順位のずれの絶対値平均
averageTop8Retention,8.000000,Elo上位8名が総合上位8位に残る人数の期待値
eloTop1OverallTop1Probability,22.712714,Elo1位が総合1位になる確率(%)
mostPenalizedParticipantDelta,2.446350,飛
mostAdvantagedParticipantDelta,-9.680716,ひよこ
