boundaryName,schemaName,rowType,playerName,group,originalElo,eloRank,expectedOverallPlace,overallPlaceDeltaFromEloRank,overallTop1ProbabilityPercent,overallTop8ProbabilityPercent
TournamentQualityReport,playerReport,data,飛,Neutral,5050,1,3.050,2.050,18.67,100.00
TournamentQualityReport,playerReport,data,角,Neutral,5030,2,3.750,1.750,26.67,100.00
TournamentQualityReport,playerReport,data,玉,Neutral,5010,3,5.700,2.700,6.67,90.00
TournamentQualityReport,playerReport,data,金,Neutral,4990,4,4.650,0.650,5.00,95.71
TournamentQualityReport,playerReport,data,銀,Neutral,4970,5,5.250,0.250,13.67,78.33
TournamentQualityReport,playerReport,data,桂,Neutral,4950,6,4.750,-1.250,8.67,91.71
TournamentQualityReport,playerReport,data,香,Neutral,4930,7,6.050,-0.950,5.33,86.71
TournamentQualityReport,playerReport,data,歩,Neutral,4910,8,6.350,-1.650,15.33,69.33
TournamentQualityReport,playerReport,data,きりん,Neutral,4890,9,11.650,2.650,0.00,20.00
TournamentQualityReport,playerReport,data,ぞう,Neutral,4870,10,11.100,1.100,0.00,21.71
TournamentQualityReport,playerReport,data,らいおん,Neutral,4850,11,11.350,0.350,0.00,10.71
TournamentQualityReport,playerReport,data,いぬ,Neutral,4830,12,11.950,-0.050,0.00,3.33
TournamentQualityReport,playerReport,data,ねこ,Neutral,4810,13,12.000,-1.000,0.00,16.00
TournamentQualityReport,playerReport,data,うさぎ,Neutral,4790,14,12.350,-1.650,0.00,5.71
TournamentQualityReport,playerReport,data,いのしし,Neutral,4770,15,13.400,-1.600,0.00,0.00
TournamentQualityReport,playerReport,data,ひよこ,Neutral,4750,16,12.650,-3.350,0.00,10.71
