metricName,metricValue,note
spearmanCorrelation,1.000000,Elo順位と期待総合順位の相関
meanAbsoluteRankError,1.326797,期待総合順位とElo順位のずれの絶対値平均
averageTop8Retention,7.634903,Elo上位8名が総合上位8位に残る人数の期待値
eloTop1OverallTop1Probability,23.860113,Elo1位が総合1位になる確率(%)
mostPenalizedParticipantDelta,2.551471,いぬ
mostAdvantagedParticipantDelta,-2.514783,小ハム
