calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place1Count,place2Percent,place2Count,place3Percent,place3Count,place4Percent,place4Count,place5Percent,place5Count,place6Percent,place6Count,place7Percent,place7Count,place8Percent,place8Count,place9Percent,place9Count,place10Percent,place10Count,place11Percent,place11Count,place12Percent,place12Count,place13Percent,place13Count,place14Percent,place14Count,place15Percent,place15Count,place16Percent,place16Count
"シミュレーション (200,000回)",70.00,圭,5110,4963,-147,0,8,,63.09,16.51,5.485,16.51,33024.630,13.05,26102.931,10.97,21935.824,9.35,18704.181,8.35,16702.222,7.33,14666.508,6.14,12273.600,5.32,10638.396,4.87,9736.364,4.33,8657.450,3.58,7167.423,2.96,5918.957,2.60,5207.213,2.08,4162.328,1.54,3075.056,1.01,2026.917
"シミュレーション (200,000回)",70.00,杏,5090,4943,-147,0,8,,60.44,13.10,6.086,13.10,26196.583,11.40,22808.393,10.17,20331.969,9.03,18062.820,8.29,16586.033,7.54,15088.326,6.57,13135.263,5.89,11780.494,5.52,11034.907,5.00,9996.843,4.26,8515.027,3.67,7344.475,3.25,6496.651,2.71,5411.410,2.11,4222.153,1.49,2988.652
"シミュレーション (200,000回)",70.00,と,5070,4923,-147,0,8,,57.72,10.08,6.732,10.08,20155.117,9.65,19294.338,9.11,18227.177,8.56,17110.591,8.15,16299.001,7.63,15251.338,6.88,13765.341,6.44,12886.030,6.10,12194.977,5.60,11201.047,4.87,9747.877,4.40,8793.753,4.02,8041.552,3.47,6949.116,2.84,5680.017,2.20,4402.729
"シミュレーション (200,000回)",70.00,飛,5050,4903,-147,0,8,,54.95,7.72,7.346,7.72,15444.280,8.15,16300.618,8.10,16200.573,7.95,15897.986,7.74,15480.993,7.44,14886.937,7.04,14080.033,6.75,13507.494,6.55,13094.502,6.12,12242.937,5.59,11173.658,5.16,10313.856,4.82,9637.162,4.28,8557.164,3.66,7321.662,2.93,5860.145
"シミュレーション (200,000回)",70.00,角,5030,4883,-147,0,8,,52.16,5.78,8.026,5.78,11556.581,6.57,13135.331,6.93,13856.810,7.12,14239.567,7.17,14334.792,7.16,14329.868,7.06,14119.921,6.90,13809.082,6.76,13513.846,6.54,13073.944,6.24,12482.667,5.97,11938.666,5.70,11408.507,5.26,10527.732,4.75,9491.906,4.09,8180.780
"シミュレーション (200,000回)",70.00,玉,5010,4863,-147,0,8,,49.35,4.32,8.679,4.32,8644.619,5.23,10459.297,5.84,11671.868,6.28,12561.473,6.48,12960.190,6.66,13311.845,6.86,13714.071,6.91,13821.898,6.91,13826.137,6.83,13655.700,6.75,13491.699,6.70,13392.810,6.52,13040.293,6.27,12532.114,5.97,11934.734,5.49,10981.252
"シミュレーション (200,000回)",70.00,金,4990,4843,-147,0,8,,46.54,3.24,9.323,3.24,6471.841,4.13,8268.323,4.82,9630.267,5.35,10708.508,5.73,11459.253,6.06,12110.752,6.45,12908.816,6.73,13462.235,6.86,13725.872,6.96,13928.958,7.18,14352.603,7.32,14641.566,7.32,14644.848,7.29,14583.024,7.33,14655.042,7.22,14448.092
"シミュレーション (200,000回)",70.00,銀,4970,4823,-147,0,8,,43.76,2.27,9.989,2.27,4536.554,3.15,6304.292,3.87,7742.297,4.49,8971.348,4.89,9786.030,5.38,10765.939,5.99,11982.534,6.35,12708.886,6.60,13203.351,6.94,13887.710,7.47,14936.661,7.86,15729.109,8.04,16083.492,8.38,16763.126,8.77,17541.769,9.53,19056.902
"シミュレーション (200,000回)",70.00,桂,4950,5097,+147,8,0,58.02,,11.31,6.588,11.31,22612.575,9.92,19839.891,9.02,18039.543,8.35,16704.027,7.96,15923.786,7.47,14949.781,6.85,13694.839,6.41,12810.241,6.12,12234.183,5.65,11291.980,4.97,9938.010,4.39,8780.079,3.93,7856.784,3.30,6596.280,2.59,5184.642,1.77,3543.358
"シミュレーション (200,000回)",70.00,香,4930,5077,+147,8,0,55.24,,8.68,7.255,8.68,17365.738,8.34,16675.807,7.99,15971.260,7.73,15463.359,7.59,15170.530,7.31,14614.449,6.93,13851.352,6.68,13351.359,6.50,12994.728,6.21,12414.194,5.71,11423.584,5.23,10459.046,4.83,9654.266,4.26,8520.228,3.47,6935.959,2.57,5134.140
"シミュレーション (200,000回)",70.00,歩,4910,5057,+147,8,0,52.43,,6.62,7.905,6.62,13230.263,6.86,13725.549,6.92,13834.177,7.01,14025.205,7.07,14132.082,7.00,14000.834,6.90,13803.028,6.90,13790.368,6.83,13657.598,6.63,13258.863,6.28,12569.977,6.02,12049.150,5.70,11401.098,5.22,10433.543,4.49,8987.938,3.55,7100.328
"シミュレーション (200,000回)",70.00,きりん,4870,5017,+147,8,0,46.78,,3.65,9.254,3.65,7291.025,4.30,8599.809,4.86,9729.506,5.29,10584.993,5.60,11194.640,5.90,11806.478,6.38,12763.165,6.67,13343.515,6.85,13698.542,7.08,14160.327,7.29,14579.558,7.49,14981.366,7.57,15135.487,7.46,14917.440,7.14,14289.520,6.46,12924.628
"シミュレーション (200,000回)",70.00,ぞう,4850,4997,+147,8,0,43.97,,2.64,9.905,2.64,5283.340,3.39,6785.471,3.92,7838.929,4.48,8957.603,4.86,9727.811,5.27,10536.773,5.87,11742.767,6.30,12604.071,6.59,13174.783,6.99,13983.926,7.53,15069.058,7.92,15846.700,8.26,16517.669,8.58,17158.100,8.83,17653.542,8.56,17119.457
"シミュレーション (200,000回)",70.00,らいおん,4830,4977,+147,8,0,41.21,,1.87,10.531,1.87,3733.865,2.57,5134.295,3.19,6386.748,3.73,7462.480,4.08,8166.610,4.62,9249.767,5.29,10580.118,5.82,11645.933,6.19,12378.708,6.76,13525.699,7.59,15171.730,8.28,16553.572,8.86,17714.650,9.69,19376.178,10.43,20859.617,11.03,22060.031
"シミュレーション (200,000回)",70.00,いぬ,4810,4957,+147,8,0,38.49,,1.34,11.160,1.34,2675.200,1.92,3844.535,2.46,4912.443,2.95,5904.969,3.34,6689.868,3.92,7845.780,4.71,9418.947,5.25,10499.024,5.64,11285.203,6.37,12748.525,7.47,14940.191,8.33,16657.551,9.17,18337.291,10.52,21036.141,12.33,24668.172,14.27,28536.159
"シミュレーション (200,000回)",70.00,ねこ,4790,4937,+147,8,0,35.85,,0.89,11.736,0.89,1777.790,1.36,2721.120,1.85,3690.608,2.32,4640.891,2.69,5386.158,3.29,6584.624,4.08,8166.204,4.67,9340.975,5.12,10246.299,5.99,11971.897,7.22,14440.279,8.30,16599.345,9.41,18823.037,11.24,22476.076,13.75,27498.273,17.82,35636.427
